index,timestamp,mode,target_id,success,latency_ms,decision_reason,circuit_state,error_message
136,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
138,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
121,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
120,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
113,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
140,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
128,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
143,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
131,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
146,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
132,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
142,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
134,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
147,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
127,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
153,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
141,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
151,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
156,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
155,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
158,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
145,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
160,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
149,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
157,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
162,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
164,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
139,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
148,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
167,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
168,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
165,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
161,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
170,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
169,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,ADAPTIVE_HEALTH_SCORE,,
171,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
173,2026-09-21T21:30:28.7500465+05:30,ADAPTIVE,RAIL-A,true,0.000,IDEMPOTENT_DUPLICATE_REUSE,,
